Qual ‚ a finalidade da tela de FAQ no sistema?;Disponibilizar documenta‡äes oficiais, manuais e dicas baseadas em perguntas frequentes de chamados.
Como se define qual coluna ser  o crit‚rio de filtragem no campo de pesquisa de um grid?;Clicando diretamente no t¡tulo da coluna que se deseja utilizar para a busca.
O que caracteriza o tipo de 'Pesquisa aproximada'?;A localiza‡Æo de linhas que contenham apenas uma parte da informa‡Æo digitada pelo usu rio.
Qual ‚ a exigˆncia para o funcionamento da 'Pesquisa exata'?;O usu rio deve digitar a informa‡Æo completa conforme cadastrada no sistema.
Como devem ser separados os valores ao utilizar a op‡Æo 'Pesquisa m£ltiplos'?;Atrav‚s do uso do caractere ponto e v¡rgula
Termo: Grid;Defini‡Æo: Telas tabeladas do sistema utilizadas para gerenciamento de dados.
Conceito: Cubo;Relat¢rio que permite ao usu rio montar sua pr¢pria visualiza‡Æo de dados a partir de uma planilha base.
A tela inicial pode ser configurada para exibir _____ indicadores para monitoramento de dados.;pain‚is
As pastas de todos os m¢dulos seguem o mesmo _____ facilitando a localiza‡Æo de relat¢rios.;padrÆo
Ao exportar um grid,  o sistema permite que o usu rio selecione quais _____ deseja exportar.;colunas
Os botäes superiores de cada tela podem executar fun‡äes espec¡ficas como _____ ou imprimir registros.;cancelar
Diferente dos campos de digita‡Æo,  o _____ ‚ utilizado para marcar algo como verdadeiro ou falso.;parƒmetro
Os relat¢rios Cubo possuem ferramentas de _____,  permitindo filtrar por qualquer coluna presente na planilha.;filtro
Na tela de FAQ,  as respostas sÆo elaboradas pela equipe de desenvolvedores com base em d£vidas de _____.;chamados
O Painel de Navega‡Æo ‚ considerado o menu mais _____ do sistema Escalasoft.;completo
Para cadastrar um novo produto, o usu rio deve preencher um _____.;formul rio
No painel de navega‡Æo,  ¡cones de pasta aberta representam as _____ do sistema.;pastas
A pesquisa do tipo _____ tenta localizar informa‡äes contidas em qualquer parte da linha.;aproximada
Qual ‚ a fun‡Æo do botÆo 'Voltar registro' nos botäes superiores?;Navegar para o registro anterior dentro de uma determinada tela.
Onde o usu rio encontra o ¡cone para acessar o Help Desk de forma r pida?;Nos botäes superiores do sistema.
Qual ‚ a principal fun‡Æo dos M¢dulos no Escalasoft?;Dividir o sistema em pequenas partes de forma organizada.
Os Pain‚is Indicadores podem conter gr ficos e _____,  ambos poss¡veis de exporta‡Æo.;tabelas
A fun‡Æo de exportar do grid ‚ acessada atrav‚s do botÆo _____ do mouse.;direito
